Date,Hour,Time_x,Purchase Bid (MW),Total Sell Bid (MW),Sell bid Solar (MW),Sell bid Non-Solar (MW),Sell bid Hydro (MW),MCV Total (MW),MCV Solar (MW),MCV Non-Solar (MW),MCV Hydro (MW),MCP (Rs/MWh)
2025-03-25,4,03:30 - 03:45,2640.4,534.5,0.0,513.0,21.5,523.4,0.0,501.9,21.5,4250.71
2025-03-25,4,03:45 - 04:00,2626.3,529.1,0.0,507.6,21.5,520.3,0.0,498.8,21.5,4499.92
2025-03-25,5,04:00 - 04:15,3163.7,518.5,0.0,497.0,21.5,518.5,0.0,497.0,21.5,5000.53
2025-03-25,5,04:15 - 04:30,3007.9,514.2,0.0,492.7,21.5,503.1,0.0,481.6,21.5,4250.9
2025-03-25,5,04:30 - 04:45,2719.5,503.0,0.0,481.5,21.5,503.0,0.0,481.5,21.5,5000.33
2025-03-25,5,04:45 - 05:00,2771.6,494.3,0.0,475.0,19.3,494.3,0.0,475.0,19.3,5000.01
2025-03-25,6,05:00 - 05:15,2653.4,447.9,0.0,428.6,19.3,447.9,0.0,428.6,19.3,5600.05
2025-03-25,6,05:15 - 05:30,2693.1,444.7,0.0,425.4,19.3,444.7,0.0,425.4,19.3,5600.06
2025-03-25,6,05:30 - 05:45,2577.1,530.9,0.0,485.6,45.3,464.5,0.0,419.2,45.3,5499.65
2025-03-25,6,05:45 - 06:00,2984.9,527.1,0.0,481.8,45.3,464.5,0.0,419.2,45.3,5499.66
2025-03-25,7,06:00 - 06:15,2523.0,532.8,0.1,478.7,54.0,532.8,0.1,478.7,54.0,5999.5
2025-03-25,7,06:15 - 06:30,3091.9,529.9,0.3,475.6,54.0,529.9,0.3,475.6,54.0,6201.39
2025-03-25,7,06:30 - 06:45,3194.5,370.3,1.8,314.6,53.9,370.3,1.8,314.6,53.9,10000.0
2025-03-25,7,06:45 - 07:00,3580.7,380.8,13.0,313.9,53.9,380.8,13.0,313.9,53.9,10000.0
2025-03-25,8,07:00 - 07:15,3579.0,427.8,56.9,324.0,46.9,427.8,56.9,324.0,46.9,6201.78
2025-03-25,8,07:15 - 07:30,3125.5,459.4,139.5,273.0,46.9,459.4,139.5,273.0,46.9,6000.63
2025-03-25,8,07:30 - 07:45,2821.0,681.3,317.9,314.9,48.5,648.7,293.9,306.3,48.5,4660.74
2025-03-25,8,07:45 - 08:00,2370.0,801.5,493.4,259.6,48.5,790.39,493.39,248.5,48.5,4200.13
2025-03-25,9,08:00 - 08:15,2253.7,967.6,664.4,254.7,48.5,945.5,653.4,243.6,48.5,4100.61
2025-03-25,9,08:15 - 08:30,2121.3,1148.7,849.3,252.9,46.5,1124.6,836.3,241.8,46.5,4100.15
2025-03-25,9,08:30 - 08:45,2584.1,1291.1,1003.8,250.3,37.0,1262.0,987.8,237.2,37.0,4000.54
2025-03-25,9,08:45 - 09:00,2212.2,1433.3,1149.2,249.1,35.0,1370.0,1130.2,207.8,32.0,3460.14
2025-03-25,10,09:00 - 09:15,3558.6,1439.6,1188.4,240.7,10.5,1327.3,1117.4,199.4,10.5,3870.54
2025-03-25,10,09:15 - 09:30,3251.8,1574.2,1325.4,238.3,10.5,1371.5,1164.99,196.01,10.5,3382.93
2025-03-25,10,09:30 - 09:45,3032.7,1718.9,1473.5,234.9,10.5,1175.5,978.53,186.47,10.5,3339.5
2025-03-25,10,09:45 - 10:00,2721.5,1786.4,1540.9,235.0,10.5,1360.1,1159.22,190.38,10.5,3206.77
2025-03-25,11,10:00 - 10:15,2554.3,1874.7,1629.4,234.8,10.5,1241.1,1042.46,188.14,10.5,2914.62
